jersey_number,player_id,player_name,position,team_name,sortOrder,period,xCoord,yCoord,game_id
8.0,8471214.0,Alex Ovechkin,L,Washington Capitals,138,1,-56.0,-23.0,2023020216
8.0,8471214.0,Alex Ovechkin,L,Washington Capitals,274,1,-36.0,28.0,2023020576
8.0,8471214.0,Alex Ovechkin,L,Washington Capitals,462,2,69.0,-3.0,2023020263
8.0,8471214.0,Alex Ovechkin,L,Washington Capitals,501,2,85.0,-7.0,2023020083
8.0,8471214.0,Alex Ovechkin,L,Washington Capitals,721,3,-40.0,-18.0,2023020099
8.0,8471214.0,Alex Ovechkin,L,Washington Capitals,729,4,65.0,17.0,2023020499
8.0,8471214.0,Alex Ovechkin,L,Washington Capitals,803,3,-30.0,34.0,2023020216
7.0,8474565.0,Alex Pietrangelo,D,Vegas Golden Knights,22,1,-88.0,-4.0,2023020209
7.0,8474565.0,Alex Pietrangelo,D,Vegas Golden Knights,769,4,79.0,-7.0,2023020650
89.0,8477949.0,Alex Tuch,R,Buffalo Sabres,57,1,-52.0,-9.0,2023020612
89.0,8477949.0,Alex Tuch,R,Buffalo Sabres,286,2,-79.0,-2.0,2023020180
89.0,8477949.0,Alex Tuch,R,Buffalo Sabres,312,2,-71.0,-1.0,2023020252
89.0,8477949.0,Alex Tuch,R,Buffalo Sabres,315,2,-79.0,-4.0,2023020625
89.0,8477949.0,Alex Tuch,R,Buffalo Sabres,460,2,68.0,5.0,2023020085
89.0,8477949.0,Alex Tuch,R,Buffalo Sabres,509,2,-75.0,1.0,2023020322
89.0,8477949.0,Alex Tuch,R,Buffalo Sabres,675,3,74.0,-5.0,2023020460
89.0,8477949.0,Alex Tuch,R,Buffalo Sabres,728,3,65.0,-15.0,2023020322
89.0,8477949.0,Alex Tuch,R,Buffalo Sabres,741,3,77.0,-1.0,2023020301
89.0,8477949.0,Alex Tuch,R,Buffalo Sabres,748,3,79.0,-3.0,2023020165
89.0,8477949.0,Alex Tuch,R,Buffalo Sabres,831,3,66.0,-8.0,2023020165
72.0,8481568.0,Alex Vlasic,D,Chicago Blackhawks,130,1,-33.0,-37.0,2023020416
21.0,8477505.0,Alex Wennberg,C,Seattle Kraken,252,1,82.0,-3.0,2023020248
21.0,8477505.0,Alex Wennberg,C,Seattle Kraken,253,1,52.0,8.0,2023020645
