jersey,person.id,person.fullName,position,team_name,goals
27,8477494,Jonathan Drouin,Left Wing,Colorado Avalanche,0
27,8477940,Nikolaj Ehlers,Left Wing,Winnipeg Jets,0
27,8478975,Mason Marchment,Left Wing,Dallas Stars,1
27,8479985,Cale Fleury,Defenseman,Seattle Kraken,1
27,8479992,Michael Rasmussen,Center,Detroit Red Wings,3
27,8480184,Gustav Lindström,Defenseman,Montréal Canadiens,0
27,8480185,Eetu Luostarinen,Center,Florida Panthers,3
27,8480220,Noah Cates,Left Wing,Philadelphia Flyers,1
27,8480448,Parker Kelly,Left Wing,Ottawa Senators,1
27,8480823,Alexander Alexeyev,Defenseman,Washington Capitals,0
27,8480871,Adam Boqvist,Defenseman,Columbus Blue Jackets,0
27,8482117,Lukas Reichel,Left Wing,Chicago Blackhawks,0
28,8473512,Claude Giroux,Right Wing,Ottawa Senators,1
28,8475461,Andrew Agozzino,Left Wing,Anaheim Ducks,2
28,8475755,Alexander Petrovic,Defenseman,Dallas Stars,0
28,8475762,Derek Forbort,Defenseman,Boston Bruins,0
28,8476878,Zemgus Girgensons,Left Wing,Buffalo Sabres,1
28,8476907,Mackenzie MacEachern,Left Wing,St. Louis Blues,0
28,8477015,Connor Brown,Right Wing,Edmonton Oilers,2
28,8477425,Miles Wood,Left Wing,Colorado Avalanche,0
28,8477478,William Carrier,Left Wing,Vegas Golden Knights,0
28,8477496,Elias Lindholm,Center,Calgary Flames,2
28,8477962,Brendan Lemieux,Left Wing,Carolina Hurricanes,0
28,8477969,Marcus Pettersson,Defenseman,Pittsburgh Penguins,0
28,8478043,Sam Lafferty,Center,Toronto Maple Leafs,1
28,8479372,Josh Mahura,Defenseman,Florida Panthers,0
28,8479994,Jaret Anderson-Dolan,Center,Los Angeles Kings,0
28,8481014,Alexander Romanov,Defenseman,New York Islanders,0
28,8482703,Colton Dach,Center,Chicago Blackhawks,0
29,8475754,Brock Nelson,Center,New York Islanders,2
29,8477492,Nathan MacKinnon,Center,Colorado Avalanche,0
29,8477934,Leon Draisaitl,Center,Edmonton Oilers,1
29,8478407,Vince Dunn,Defenseman,Seattle Kraken,0
29,8479339,Patrik Laine,Left Wing,Columbus Blue Jackets,3
29,8479346,Dillon Dube,Center,Calgary Flames,2
29,8480849,Barrett Hayton,Center,Arizona Coyotes,2
29,8480995,Pontus Holmberg,Right Wing,Toronto Maple Leafs,0
29,8481575,Lassi Thomson,Defenseman,Anaheim Ducks,0
29,8482148,Hendrix Lapierre,Center,Washington Capitals,1
3,8471677,Jack Johnson,Defenseman,Colorado Avalanche,0
3,8475188,Brayden McNabb,Defenseman,Vegas Golden Knights,0
3,8475324,Nick Jensen,Defenseman,Washington Capitals,0
3,8475718,Justin Holl,Defenseman,Detroit Red Wings,0
3,8475906,John Klingberg,Defenseman,Toronto Maple Leafs,0
3,8476917,Adam Pelech,Defenseman,New York Islanders,0
3,8477384,Josh Brown,Defenseman,Arizona Coyotes,0
3,8478468,Jeremy Lauzon,Defenseman,Nashville Predators,0
3,8478840,Will Borgen,Defenseman,Seattle Kraken,1
3,8478911,Matt Roy,Defenseman,Los Angeles Kings,0
3,8481567,Henry Thrun,Defenseman,San Jose Sharks,2
3,8482641,Matt Kiersted,Defenseman,Florida Panthers,0
32,8477527,Ross Johnston,Left Wing,New York Islanders,0
32,8482802,Carter Mazur,Left Wing,Detroit Red Wings,0
33,8471274,Alex Goligoski,Defenseman,Minnesota Wild,1
33,8475164,Jakob Silfverberg,Right Wing,Anaheim Ducks,0
33,8478042,Viktor Arvidsson,Right Wing,Los Angeles Kings,1
33,8478408,Travis Dermott,Defenseman,Arizona Coyotes,1
33,8480306,Grant Hutton,Defenseman,New York Islanders,0
33,8481564,Ryan Johnson,Defenseman,Buffalo Sabres,0
34,8476858,Phillip Di Giuseppe,Left Wing,Vancouver Canucks,1
34,8476983,Paul LaDue,Defenseman,New York Islanders,0
34,8479318,Auston Matthews,Center,Toronto Maple Leafs,1
34,8481560,Arthur Kaliyev,Right Wing,Los Angeles Kings,0
34,8483490,Pavel Mintyukov,Defenseman,Anaheim Ducks,1
36,8475692,Mats Zuccarello,Right Wing,Minnesota Wild,0
36,8478432,Christian Fischer,Right Wing,Detroit Red Wings,0
36,8479526,Otto Koivula,Left Wing,New York Islanders,0
36,8480289,Morgan Barron,Center,Winnipeg Jets,1
36,8482062,Cole Smith,Left Wing,Nashville Predators,0
36,8482126,Emil Andrae,Defenseman,Philadelphia Flyers,0
36,8484392,Felix Unger Sorum,Right Wing,Carolina Hurricanes,0
37,8476826,Yanni Gourde,Center,Seattle Kraken,0
37,8477456,J.T. Compher,Left Wing,Detroit Red Wings,1
37,8477998,Warren Foegele,Left Wing,Edmonton Oilers,0
37,8479999,Casey Mittelstadt,Center,Buffalo Sabres,0
37,8480043,Timothy Liljegren,Defenseman,Toronto Maple Leafs,0
37,8480805,Tyler Madden,Center,Los Angeles Kings,1
37,8480830,Andrei Svechnikov,Right Wing,Carolina Hurricanes,0
37,8480840,Oskar Back,Center,Dallas Stars,0
37,8481016,Ruslan Iskhakov,Center,New York Islanders,0
37,8483045,Cameron Butler,Right Wing,Columbus Blue Jackets,0
37,8484153,Leo Carlsson,Center,Anaheim Ducks,0
38,8476432,Boone Jenner,Center,Columbus Blue Jackets,1
38,8477070,Liam O'Brien,Center,Arizona Coyotes,0
38,8477451,Ryan Hartman,Right Wing,Minnesota Wild,0
38,8477887,Patrick Brown,Center,Boston Bruins,0
38,8479348,Kale Clague,Defenseman,Buffalo Sabres,0
38,8479542,Brandon Hagel,Left Wing,Tampa Bay Lightning,1
38,8479983,Mario Ferraro,Defenseman,San Jose Sharks,0
