jerseyNumber,person.id,person.fullName,position.name,team_name,player_id,x,y
7,8475179,Dmitry Kulikov,Defenseman,Anaheim Ducks,8475179,-91,6
7,8475179,Dmitry Kulikov,Defenseman,Anaheim Ducks,8475179,92,-12
7,8475200,Dmitry Orlov,Defenseman,Boston Bruins,,,
7,8475200,Dmitry Orlov,Defenseman,Washington Capitals,,,
21,8476952,Dominic Toninato,Center,Winnipeg Jets,8476952,-82,1
81,8477330,Dominik Kubalik,Left Wing,Detroit Red Wings,8477330,79,0
81,8477330,Dominik Kubalik,Left Wing,Detroit Red Wings,8477330,-84,3
7,8476462,Dougie Hamilton,Defenseman,New Jersey Devils,,,
19,8480208,Drake Batherson,Right Wing,Ottawa Senators,8480208,,
8,8479465,Drake Caggiula,Left Wing,Pittsburgh Penguins,,,
8,8474563,Drew Doughty,Defenseman,Los Angeles Kings,,,
43,8481563,Drew Helleson,Defenseman,Anaheim Ducks,,,
10,8482055,Drew O'Connor,Left Wing,Pittsburgh Penguins,8482055,86,1
10,8482055,Drew O'Connor,Left Wing,Pittsburgh Penguins,8482055,28,-32
20,8478211,Dryden Hunt,Left Wing,New York Rangers,8478211,-87,-21
20,8478211,Dryden Hunt,Left Wing,New York Rangers,8478211,87,-8
20,8478211,Dryden Hunt,Left Wing,Toronto Maple Leafs,8478211,-87,-21
20,8478211,Dryden Hunt,Left Wing,Toronto Maple Leafs,8478211,87,-8
20,8478211,Dryden Hunt,Left Wing,Colorado Avalanche,8478211,-87,-21
20,8478211,Dryden Hunt,Left Wing,Colorado Avalanche,8478211,87,-8
40,8474682,Dustin Tokarski,Goalie,Pittsburgh Penguins,,,
32,8481692,Dustin Wolf,Goalie,Calgary Flames,,,
15,8479639,Dylan Coghlan,Defenseman,Carolina Hurricanes,,,
24,8481528,Dylan Cozens,Center,Buffalo Sabres,,,
2,8476331,Dylan DeMelo,Defenseman,Winnipeg Jets,,,
34,8480263,Dylan Ferguson,Goalie,Ottawa Senators,,,
57,8479580,Dylan Gambrell,Center,Ottawa Senators,,,
11,8482699,Dylan Guenther,Right Wing,Arizona Coyotes,8482699,,
55,8482077,Dylan Holloway,Left Wing,Edmonton Oilers,8482077,83,8
71,8477946,Dylan Larkin,Center,Detroit Red Wings,8477946,87,-13
71,8477946,Dylan Larkin,Center,Detroit Red Wings,8477946,85,-9
71,8477946,Dylan Larkin,Center,Detroit Red Wings,8477946,-50,7
