game_id,goal_no,player_id,player_name,team_name,period,x_adjusted,y_adjusted
2023020379,1,8480281.0,Alexey Toropchenko,St. Louis Blues,1,81.0,-4.0
2023020287,2,8480281.0,Alexey Toropchenko,St. Louis Blues,2,57.0,18.0
2023020271,3,8480281.0,Alexey Toropchenko,St. Louis Blues,2,81.0,5.0
2023020164,4,8480281.0,Alexey Toropchenko,St. Louis Blues,3,75.0,3.0
2023020219,5,8480281.0,Alexey Toropchenko,St. Louis Blues,3,87.0,-2.0
2023020010,1,8482109.0,Alexis Lafrenière,New York Rangers,1,82.0,7.0
2023020283,2,8482109.0,Alexis Lafrenière,New York Rangers,1,76.0,-5.0
2023020096,3,8482109.0,Alexis Lafrenière,New York Rangers,2,79.0,-0.0
2023020225,4,8482109.0,Alexis Lafrenière,New York Rangers,2,74.0,18.0
2023020110,5,8482109.0,Alexis Lafrenière,New York Rangers,2,68.0,-21.0
2023020078,6,8482109.0,Alexis Lafrenière,New York Rangers,2,79.0,-5.0
2023020196,7,8482109.0,Alexis Lafrenière,New York Rangers,3,79.0,5.0
2023020225,8,8482109.0,Alexis Lafrenière,New York Rangers,3,87.0,-7.0
2023020225,9,8482109.0,Alexis Lafrenière,New York Rangers,5,80.0,-5.0
2023020263,1,8481656.0,Aliaksei Protas,Washington Capitals,2,71.0,22.0
2023020216,2,8481656.0,Aliaksei Protas,Washington Capitals,2,73.0,-4.0
2023020286,1,8475314.0,Anders Lee,New York Islanders,1,87.0,-4.0
2023020248,2,8475314.0,Anders Lee,New York Islanders,1,81.0,-0.0
2023020359,3,8475314.0,Anders Lee,New York Islanders,1,81.0,5.0
2023020302,4,8475314.0,Anders Lee,New York Islanders,2,67.0,20.0
2023020090,5,8475314.0,Anders Lee,New York Islanders,3,60.0,6.0
2023020029,1,8483808.0,Andrei Kuzmenko,Vancouver Canucks,1,73.0,-3.0
2023020156,2,8483808.0,Andrei Kuzmenko,Vancouver Canucks,2,76.0,-11.0
2023020353,3,8483808.0,Andrei Kuzmenko,Vancouver Canucks,3,71.0,-4.0
2023020068,4,8483808.0,Andrei Kuzmenko,Vancouver Canucks,3,81.0,-19.0
2023020318,1,8480830.0,Andrei Svechnikov,Carolina Hurricanes,3,59.0,6.0
2023020275,1,8471699.0,Andrew Cogliano,Colorado Avalanche,1,82.0,1.0
2023020240,2,8471699.0,Andrew Cogliano,Colorado Avalanche,3,73.0,8.0
2023020264,3,8471699.0,Andrew Cogliano,Colorado Avalanche,3,90.0,-2.0
2023020035,1,8477429.0,Andrew Copp,Detroit Red Wings,2,81.0,-3.0
2023020050,2,8477429.0,Andrew Copp,Detroit Red Wings,2,82.0,-8.0
2023020161,3,8477429.0,Andrew Copp,Detroit Red Wings,3,82.0,-13.0
2023020183,4,8477429.0,Andrew Copp,Detroit Red Wings,3,73.0,-14.0
2023020050,5,8477429.0,Andrew Copp,Detroit Red Wings,3,64.0,29.0
2023020007,1,8478233.0,Andrew Mangiapane,Calgary Flames,1,74.0,-7.0
2023020142,2,8478233.0,Andrew Mangiapane,Calgary Flames,2,66.0,-2.0
2023020080,3,8478233.0,Andrew Mangiapane,Calgary Flames,2,83.0,2.0
2023020277,4,8478233.0,Andrew Mangiapane,Calgary Flames,3,84.0,1.0
2023020007,5,8478233.0,Andrew Mangiapane,Calgary Flames,3,65.0,-7.0
