jerseyNumber,person.id,person.fullName,team_name,goals
8.0,8479996.0,Cody Glass,Nashville Predators,0
22.0,8481540.0,Cole Caufield,Montréal Canadiens,1
70.0,8480252.0,Cole Guttman,Chicago Blackhawks,0
48.0,8484287.0,Cole McWard,Vancouver Canucks,0
91.0,8482149.0,Cole Perfetti,Winnipeg Jets,1
79.0,8481655.0,Cole Schwindt,Calgary Flames,0
4.0,8482705.0,Cole Sillinger,Columbus Blue Jackets,1
36.0,8482062.0,Cole Smith,Nashville Predators,0
43.0,8476278.0,Colin Blackwell,Chicago Blackhawks,0
6.0,8476525.0,Colin Miller,New Jersey Devils,0
60.0,8480420.0,Collin Delia,Winnipeg Jets,0
28.0,8482703.0,Colton Dach,Chicago Blackhawks,0
55.0,8476892.0,Colton Parayko,St. Louis Blues,0
10.0,8476925.0,Colton Sissons,Nashville Predators,0
45.0,8478841.0,Colton White,Anaheim Ducks,0
98.0,8484144.0,Connor Bedard,Chicago Blackhawks,0
28.0,8477015.0,Connor Brown,Edmonton Oilers,0
36.0,8476941.0,Connor Carrick,Seattle Kraken,0
75.0,8477365.0,Connor Clifton,Buffalo Sabres,0
26.0,8480980.0,Connor Dewar,Minnesota Wild,1
37.0,8476945.0,Connor Hellebuyck,Winnipeg Jets,0
39.0,8478971.0,Connor Ingram,Arizona Coyotes,0
97.0,8478402.0,Connor McDavid,Edmonton Oilers,2
24.0,8481580.0,Connor McMichael,Washington Capitals,1
5.0,8476473.0,Connor Murphy,Chicago Blackhawks,0
47.0,8482074.0,Connor Zary,Calgary Flames,2
8.0,8478856.0,Conor Garland,Vancouver Canucks,1
73.0,8477839.0,Conor Sheary,Tampa Bay Lightning,1
25.0,8479982.0,Conor Timmins,Toronto Maple Leafs,2
94.0,8470621.0,Corey Perry,Chicago Blackhawks,0
74.0,8482678.0,Corson Ceulemans,Columbus Blue Jackets,0
15.0,8475225.0,Craig Smith,Dallas Stars,0
74.0,8482106.0,Cross Hanas,Detroit Red Wings,1
42.0,8477508.0,Curtis Lazar,New Jersey Devils,1
81.0,8478057.0,Dakota Joshua,Vancouver Canucks,0
6.0,8477541.0,Dakota Mermis,Minnesota Wild,0
78.0,8476923.0,Damon Severson,Columbus Blue Jackets,0
44.0,8479252.0,Dan Renouf,Boston Bruins,0
80.0,8478435.0,Dan Vladar,Calgary Flames,0
88.0,8478466.0,Daniel Sprong,Detroit Red Wings,2
40.0,8480193.0,Daniil Tarasov,Columbus Blue Jackets,0
57.0,8479371.0,Dante Fabbro,Nashville Predators,0
35.0,8475311.0,Darcy Kuemper,Washington Capitals,0
25.0,8477498.0,Darnell Nurse,Edmonton Oilers,0
43.0,8478178.0,Darren Raddysh,Tampa Bay Lightning,0
19.0,8481019.0,David Gustafsson,Winnipeg Jets,3
55.0,8483460.0,David Jiricek,Columbus Blue Jackets,0
64.0,8480144.0,David Kampf,Toronto Maple Leafs,0
88.0,8477956.0,David Pastrnak,Boston Bruins,2
57.0,8474102.0,David Perron,Detroit Red Wings,0
31.0,8479496.0,David Rittich,Los Angeles Kings,0
58.0,8475233.0,David Savard,Montréal Canadiens,0
91.0,8482110.0,Dawson Mercer,New Jersey Devils,1
59.0,8483104.0,Daylan Kuefler,New York Islanders,0
45.0,8480990.0,Declan Chisholm,Winnipeg Jets,0
15.0,8478495.0,Denis Gurianov,Nashville Predators,0
7.0,8479395.0,Dennis Cholowski,New York Islanders,0
48.0,8478502.0,Dennis Gilbert,Calgary Flames,0
5.0,8483485.0,Denton Mateychuk,Columbus Blue Jackets,0
28.0,8475762.0,Derek Forbort,Boston Bruins,0
10.0,8478585.0,Derek Ryan,Edmonton Oilers,0
94.0,8476913.0,Devin Shore,Seattle Kraken,0
27.0,8482221.0,Devon Levi,Buffalo Sabres,0
7.0,8478038.0,Devon Toews,Colorado Avalanche,1
29.0,8479346.0,Dillon Dube,Calgary Flames,2
10.0,8481716.0,Dmitri Voronkov,Columbus Blue Jackets,0
7.0,8475179.0,Dmitry Kulikov,Florida Panthers,2
7.0,8475200.0,Dmitry Orlov,Carolina Hurricanes,0
89.0,8481562.0,Domenick Fensore,Carolina Hurricanes,0
81.0,8477330.0,Dominik Kubalik,Ottawa Senators,2
7.0,8476462.0,Dougie Hamilton,New Jersey Devils,0
19.0,8480208.0,Drake Batherson,Ottawa Senators,1
8.0,8474563.0,Drew Doughty,Los Angeles Kings,0
10.0,8482055.0,Drew O'Connor,Pittsburgh Penguins,2
20.0,8478211.0,Dryden Hunt,Calgary Flames,2
32.0,8481692.0,Dustin Wolf,Calgary Flames,0
15.0,8479639.0,Dylan Coghlan,Carolina Hurricanes,0
24.0,8481528.0,Dylan Cozens,Buffalo Sabres,0
2.0,8476331.0,Dylan DeMelo,Winnipeg Jets,0
57.0,8479580.0,Dylan Gambrell,Toronto Maple Leafs,0
33.0,8482193.0,Dylan Garand,New York Rangers,0
11.0,8482699.0,Dylan Guenther,Arizona Coyotes,1
55.0,8482077.0,Dylan Holloway,Edmonton Oilers,1
71.0,8477946.0,Dylan Larkin,Detroit Red Wings,3
25.0,8475795.0,Dylan McIlrath,Washington Capitals,0
54.0,8480049.0,Dylan Samberg,Winnipeg Jets,0
17.0,8478440.0,Dylan Strome,Washington Capitals,1
53.0,8484158.0,Easton Cowan,Toronto Maple Leafs,1
20.0,8480009.0,Eeli Tolvanen,Seattle Kraken,2
51.0,8482163.0,Eemil Viro,Detroit Red Wings,0
57.0,8482882.0,Eetu Liukas,New York Islanders,0
27.0,8480185.0,Eetu Luostarinen,Florida Panthers,2
75.0,8481102.0,Egor Sokolov,Ottawa Senators,0
5.0,8481178.0,Egor Zamula,Philadelphia Flyers,0
28.0,8477496.0,Elias Lindholm,Calgary Flames,2
40.0,8480012.0,Elias Pettersson,Vancouver Canucks,1
85.0,8481725.0,Elmer Soderblom,Detroit Red Wings,1
90.0,8478007.0,Elvis Merzlikins,Columbus Blue Jackets,0
36.0,8482126.0,Emil Andrae,Philadelphia Flyers,0
52.0,8480205.0,Emil Bemstrom,Columbus Blue Jackets,2
51.0,8482476.0,Emil Heineman,Montréal Canadiens,0
31.0,8477480.0,Eric Comrie,Buffalo Sabres,0
50.0,8480762.0,Eric Robinson,Columbus Blue Jackets,0
26.0,8480073.0,Erik Brannstrom,Ottawa Senators,0
81.0,8478416.0,Erik Cernak,Tampa Bay Lightning,0
44.0,8475790.0,Erik Gudbranson,Columbus Blue Jackets,0
56.0,8476979.0,Erik Gustafsson,New York Rangers,1
56.0,8475287.0,Erik Haula,New Jersey Devils,2
6.0,8473446.0,Erik Johnson,Buffalo Sabres,0
50.0,8478902.0,Erik Kallgren,New Jersey Devils,0
65.0,8474578.0,Erik Karlsson,Pittsburgh Penguins,0
23.0,8476902.0,Esa Lindell,Dallas Stars,0
2.0,8480803.0,Evan Bouchard,Edmonton Oilers,0
17.0,8478542.0,Evan Rodrigues,Florida Panthers,0
91.0,8475169.0,Evander Kane,Edmonton Oilers,0
71.0,8471215.0,Evgeni Malkin,Pittsburgh Penguins,0
63.0,8474149.0,Evgenii Dadonov,Dallas Stars,2
92.0,8475744.0,Evgeny Kuznetsov,Washington Capitals,0
20.0,8480188.0,Fabian Zetterlund,San Jose Sharks,0
32.0,8478433.0,Felix Sandstrom,Philadelphia Flyers,0
36.0,8484392.0,Felix Unger Sorum,Carolina Hurricanes,0
72.0,8480078.0,Filip Chytil,New York Rangers,0
9.0,8476887.0,Filip Forsberg,Nashville Predators,0
32.0,8479406.0,Filip Gustavsson,Minnesota Wild,0
